,google_address,Predicted AirBNB Price,Zillow List Price,Bathrooms,Bedrooms,Zipcode,Neighborhood,Lat,Long,Cap Rate,Annual Cost,NOI,Annual Income,Occupancy Days,Occupancy Rate,Annual Income if Rented Out 82% of the Year)
8644,2822 Northeast Everett Street,136.80503484397406,646500.0,2.0,4.0,97232,Kerns,45.52481842,-122.6367035,0.1,12000.0,64650.0,76650.0,560.2863965307945,1.5350312233720398,41041.51045319222
2360,2248 Northeast Everett Street,136.80503484397406,685000.0,2.0,4.0,97232,Kerns,45.52478409,-122.6424103,0.1,12000.0,68500.0,80500.0,588.4286356259485,1.6121332482902697,41041.51045319222
10289,18412 Sandpiper Way,136.79708055708804,600000.0,2.0,4.0,97035,Bryant,45.39281464,-122.72612,0.1,12000.0,60000.0,72000.0,526.3270217960026,1.4419918405369934,41039.124167126414
11233,4554 Wildwood Street,136.79708055708804,645000.0,2.0,4.0,97035,Bryant,45.39987946,-122.7238235,0.1,12000.0,64500.0,76500.0,559.2224606582528,1.5321163305705556,41039.124167126414
11197,4639 Black Forest Court,136.79708055708804,643000.0,2.0,4.0,97035,Bryant,45.39954376,-122.7242508,0.1,12000.0,64300.0,76300.0,557.7604411532639,1.5281107976801749,41039.124167126414
10407,4184 Virginia Way,136.79708055708804,976000.0,2.0,4.0,97035,Bryant,45.40208817,-122.7198257,0.1,12000.0,97600.0,109600.0,801.186688733915,2.1950320239285346,41039.124167126414
10293,3815 South Shore Boulevard,136.79708055708804,1067000.0,2.0,4.0,97035,Bryant,45.40356827,-122.7159805,0.1,12000.0,106700.0,118700.0,867.7085762109099,2.377283770440849,41039.124167126414
11391,4224 Haven Street,136.79708055708804,600000.0,2.0,4.0,97035,Bryant,45.39955521,-122.7203522,0.1,12000.0,60000.0,72000.0,526.3270217960026,1.4419918405369934,41039.124167126414
5065,4555 Southeast 105th Avenue,136.79151545541873,370000.0,2.0,4.0,97266,Lents,45.48897552,-122.5548553,0.1,12000.0,37000.0,49000.0,358.2093511930528,0.9813954827206925,41037.45463662562
5251,8936 Southeast Claybourne Street,136.79151545541873,330000.0,2.0,4.0,97266,Lents,45.47455215,-122.5709076,0.1,12000.0,33000.0,45000.0,328.967771503824,0.9012815657639014,41037.45463662562
5872,10612 Southeast Liebe Street,136.79151545541873,365000.0,2.0,4.0,97266,Lents,45.48640442,-122.5536194,0.1,12000.0,36500.0,48500.0,354.5541537318992,0.9713812431010936,41037.45463662562
5991,5635 Southeast 103rd Avenue,136.79151545541873,355000.0,2.0,4.0,97266,Lents,45.4812851,-122.5574493,0.1,12000.0,35500.0,47500.0,347.243758809592,0.9513527638618959,41037.45463662562
7649,7321 Southeast 103rd Avenue,136.79151545541873,600000.0,2.0,4.0,97266,Lents,45.46947098,-122.5580292,0.1,12000.0,60000.0,72000.0,526.3484344061184,1.442050505222242,41037.45463662562
7865,5328 Southeast 109th Avenue,136.79151545541873,520000.0,2.0,4.0,97266,Lents,45.48399353,-122.5508804,0.1,12000.0,52000.0,64000.0,467.8652750276608,1.2818226713086598,41037.45463662562
4786,10306 Southeast Mitchell Street,136.79151545541873,342000.0,2.0,4.0,97266,Lents,45.48460007,-122.5569229,0.1,12000.0,34200.0,46200.0,337.74024541059265,0.9253157408509388,41037.45463662562
5213,8356 Southeast Lafayette Street,136.79151545541873,375000.0,2.0,4.0,97266,Lents,45.49597549,-122.5765533,0.1,12000.0,37500.0,49500.0,361.86454865420643,0.9914097223402916,41037.45463662562
11265,12439 Southeast 26th Avenue,136.7733060803704,535000.0,2.0,4.0,97222,Island Station,45.43307877,-122.637291,0.1,12000.0,53500.0,65500.0,478.89461677201143,1.3120400459507162,41031.991824111115
11234,4991 Hartford Place,136.77150786645998,830000.0,4.0,3.0,97035,Lake Forest,45.41478348,-122.7284775,0.1,12000.0,83000.0,95000.0,694.5891105679367,1.9029838645696895,41031.452359938
4110,1973 Southeast 24th Avenue,136.68722447708353,837500.0,2.0,4.0,97214,Hosford-Abernethy,45.50860977,-122.6415176,0.1,12000.0,83750.0,95750.0,700.5043841244511,1.9191900934916468,41006.16734312506
9121,2334 Southeast 8th Avenue,136.68722447708353,485000.0,2.0,4.0,97214,Hosford-Abernethy,45.50595856,-122.6575241,0.1,12000.0,48500.0,60500.0,442.616347149131,1.2126475264359753,41006.16734312506
3648,2615 Southeast Market Street,136.68722447708353,675000.0,2.0,4.0,97214,Hosford-Abernethy,45.51071167,-122.6389465,0.1,12000.0,67500.0,79500.0,581.6198280719985,1.593478981019174,41006.16734312506
4113,2135 Southeast 29th Avenue,136.68722447708353,995000.0,2.0,4.0,97214,Hosford-Abernethy,45.50725174,-122.6360245,0.1,12000.0,99500.0,111500.0,815.7309538368282,2.2348793255803514,41006.16734312506
4257,1135 Southeast Grant Street,136.68722447708353,690700.0,2.0,4.0,97214,Hosford-Abernethy,45.50737381,-122.6540222,0.1,12000.0,69070.0,81070.0,593.1059051798355,1.6249476854242069,41006.16734312506
4250,2815 Southeast Market Street,136.68722447708353,750000.0,2.0,4.0,97214,Hosford-Abernethy,45.51070786,-122.6367264,0.1,12000.0,75000.0,87000.0,636.4896231731306,1.7438071867757001,41006.16734312506
4243,2115 Southeast Sherman Street,136.68722447708353,955000.0,2.0,4.0,97214,Hosford-Abernethy,45.5064621,-122.6437302,0.1,12000.0,95500.0,107500.0,786.4670631162245,2.1547042825102043,41006.16734312506
3673,1532 Southeast 22nd Avenue,136.68722447708353,660000.0,2.0,4.0,97214,Hosford-Abernethy,45.51150131,-122.6428757,0.1,12000.0,66000.0,78000.0,570.6458690517721,1.563413339867869,41006.16734312506
8649,2215 Northeast 43rd Avenue,136.61323657625192,593000.0,2.0,4.0,97213,Hollywood,45.53861237,-122.6192245,0.1,12000.0,59300.0,71300.0,521.9113593008483,1.4298941350708172,40983.97097287558
9570,3105 Southeast Washington Street,136.0651558356581,445000.0,2.0,4.0,97222,Historic Milwaukie,45.44355392,-122.6307068,0.1,12000.0,44500.0,56500.0,415.2422393007193,1.137649970686902,40819.546750697424
11402,2626 Southeast Washington Street,136.0651558356581,476000.0,2.0,4.0,97222,Historic Milwaukie,45.44290924,-122.6356506,0.1,12000.0,47600.0,59600.0,438.0254418110243,1.2000697035918473,40819.546750697424
11630,2419 Southeast Lake Road,136.0651558356581,340000.0,2.0,4.0,97222,Historic Milwaukie,45.43967819,-122.6366348,0.1,12000.0,34000.0,46000.0,338.07332757226703,0.9262282947185398,40819.546750697424
