google_address,Predicted AirBNB Price,Zillow List Price,Bathrooms,Bedrooms,Zipcode,Neighborhood,Lat,Long
2678 Northeast Lindsey Drive,163.11824741372573,535000,3.0,4.0,97124,Jackson School,45.54417038,-122.9845886
980 Southeast Elina Avenue,103.41449964305119,425000,3.0,3.0,97123,Arbor Roses,45.51069641,-122.9743652
2481 Northeast Nicki Court,86.68600916077958,577000,2.0,3.0,97124,Jackson School,45.54380035,-122.9862366
Greystone Community 3204,219.20725606000724,605827,3.0,5.0,97124,North Irvine Drive,45.52461243,-123.0311279
1013 Southeast Albertine Street,103.41449964305119,370000,3.0,3.0,97123,Arbor Roses,45.5118866,-122.974678
1137 Southeast Highfield Avenue,103.41449964305119,394500,3.0,3.0,97123,Arbor Roses,45.50886536,-122.9726715
1319 Northeast Parkside Drive,110.26649702898617,489040,3.0,3.0,97124,Jackson School,45.53475189,-122.9853058
1142 Southeast Bacarra Street,103.41449964305119,349900,3.0,3.0,97123,Arbor Roses,45.51019669,-122.9731674
1041 Southeast Tamango Street,103.41449964305119,363500,3.0,3.0,97123,Arbor Roses,45.50997925,-122.9748306
439 Northeast Larena Place,110.26649702898617,425000,3.0,3.0,97124,Jackson School,45.53720856,-122.9853745
1128 Southeast 11th Avenue,103.41449964305119,390000,3.0,3.0,97123,Arbor Roses,45.5088768,-122.9736252
1139 Southeast Leander Street,103.41449964305119,375000,3.0,3.0,97123,Arbor Roses,45.50937271,-122.9731216
2478 Northeast Nicki Court,186.69873528193233,530000,4.0,4.0,97124,Jackson School,45.54331207,-122.9869843
1076 Southeast Portlandia Avenue,103.41449964305119,400000,3.0,3.0,97123,Arbor Roses,45.50946808,-122.9752045
1186 Southeast Westerland Street,103.41449964305119,399000,3.0,3.0,97123,Arbor Roses,45.50785446,-122.972641
435 Northeast Tina Court,110.26649702898617,480000,3.0,3.0,97124,Jackson School,45.54113007,-122.9868851
1132 Southeast Wenlock Avenue,156.26625002779076,425000,3.0,4.0,97123,Arbor Roses,45.50858307,-122.9754715
509 Northeast Goldie Drive,163.11824741372573,612500,3.0,4.0,97124,Jackson School,45.53564072,-122.9846954
338 Southeast 68th Avenue,92.37838753831952,465000,2.0,3.0,97123,Reedville,45.51824951,-122.9100647
1174 Southeast Bacarra Street,103.41449964305119,346000,3.0,3.0,97123,Arbor Roses,45.5102005,-122.9727402
1136 Southeast Roundelay Street,156.26625002779076,450000,3.0,4.0,97123,Arbor Roses,45.50723648,-122.9733047
3925 Southeast 68th Avenue,159.30117964798632,629867,3.0,4.0,97123,Cooper Mountain - Aloha North,45.49151611,-122.9117432
1934 Northeast Estate Drive,163.11824741372573,515000,3.0,4.0,97124,Jackson School,45.54101181,-122.9871902
7072 Southeast Ladybug Lane,106.44942926324673,413074,3.0,3.0,97123,Cooper Mountain - Aloha North,45.4955101,-122.9087906
346 Northeast Merle Court,186.69873528193233,630000,4.0,4.0,97124,Jackson School,45.54064178,-122.9886475
7652 Southeast Blanton Street,106.44942926324673,459000,3.0,3.0,97123,Cooper Mountain - Aloha North,45.49277115,-122.9027328
7064 Southeast Ladybug Lane,106.44942926324673,407599,3.0,3.0,97123,Cooper Mountain - Aloha North,45.49552917,-122.9088898
6348 Southeast Karpstein Place,168.8106257912657,506500,3.0,4.0,97123,Reedville,45.50815964,-122.9151993
2068 Southeast 63rd Avenue,92.37838753831952,410000,2.0,3.0,97123,Reedville,45.50430298,-122.9169769
612 Northeast Amanda Place,163.11824741372573,605000,3.0,4.0,97124,Jackson School,45.54374695,-122.9835663
664 Southeast 71st Avenue,92.37838753831952,415000,2.0,3.0,97123,Reedville,45.5148735,-122.9070129
3961 Southeast 68th Avenue,82.86894139504014,607817,2.0,3.0,97123,Cooper Mountain - Aloha North,45.49126816,-122.9117584
864 Southeast Century Boulevard,168.8106257912657,575000,3.0,4.0,97123,Reedville,45.51299286,-122.9139633
1728 Northeast Glen Ellen Drive,110.26649702898617,425000,3.0,3.0,97124,Jackson School,45.53719711,-122.985878
1284 Southeast Bianca Street,103.41449964305119,317900,3.0,3.0,97123,Arbor Roses,45.50843048,-122.9712982
1503 Northeast 63rd Avenue,61.96714107453991,495000,3.0,2.0,97124,Orenco Station,45.53546524,-122.9156036
1082 Southeast Portlandia Avenue,103.41449964305119,397500,3.0,3.0,97123,Arbor Roses,45.50937271,-122.9751511
18885 Northwest Park Ridge Way,122.2746104688606,435000,3.0,3.0,97006,Tanasbourne,45.53228378,-122.8712006
2704 Northeast Lindsey Drive,163.11824741372573,540000,3.0,4.0,97124,Jackson School,45.5442543,-122.9843521
2453 Southeast 56th Court,92.37838753831952,390000,2.0,3.0,97123,Reedville,45.50065613,-122.9259491
1188 Southeast Alika Avenue,103.41449964305119,295000,3.0,3.0,97123,Arbor Roses,45.50777817,-122.9705887
6994 Southeast Blaine Street,115.9588754065261,480000,3.0,3.0,97123,Reedville,45.50545502,-122.9094849
828 Northeast Caden Avenue,91.13723927039972,400000,2.0,3.0,97124,Orenco Gardens,45.52915573,-122.9189224
924 Southeast Sacha Place,103.41449964305119,309000,3.0,3.0,97123,Arbor Roses,45.51095963,-122.9727554
460 Northeast Tina Court,110.26649702898617,495500,3.0,3.0,97124,Jackson School,45.54066086,-122.9864883
1923 Northeast Estate Drive,139.53775954551915,510000,2.0,4.0,97124,Jackson School,45.54060745,-122.9876175
1590 Southeast Sweetbay Street,164.56172432299192,479900,3.0,4.0,97123,Magnolia Estates,45.49399185,-122.9681244
1788 Northeast Trisha Drive,163.11824741372573,490000,3.0,4.0,97124,Jackson School,45.53758621,-122.9800186
1854 Northeast Trisha Drive,163.11824741372573,554900,3.0,4.0,97124,Jackson School,45.5379982,-122.9800262
1120 Southeast Alika Avenue,103.41449964305119,305000,3.0,3.0,97123,Arbor Roses,45.5089035,-122.9705582
684 Northeast Goldie Drive,163.11824741372573,500000,3.0,4.0,97124,Jackson School,45.53829956,-122.9806213
958 Southeast Spoonbill Court,115.9588754065261,456500,3.0,3.0,97123,Reedville,45.51224136,-122.9286346
3699 Southeast Trellis Place,120.71359847816579,442000,3.0,3.0,97123,Witch Hazel,45.49334335,-122.9395294
1844 Southeast Water Lily Street,111.70997393825235,456000,3.0,3.0,97123,Magnolia Estates,45.49317932,-122.9660492
6147 Southeast Green Court,145.2301379230591,499000,2.0,4.0,97123,Reedville,45.51078415,-122.9188614
1137 Southeast Wenlock Avenue,156.26625002779076,425000,3.0,4.0,97123,Arbor Roses,45.50830078,-122.9758224
5254 Southeast Patterson Street,168.8106257912657,481000,3.0,4.0,97123,Reedville,45.51309967,-122.929657
1198 Southeast Tamora Avenue,91.62425570894789,419000,2.5,3.0,97123,Arbor Roses,45.50778961,-122.9759064
1061 Southeast Tamora Avenue,103.41449964305119,446000,3.0,3.0,97123,Arbor Roses,45.50902557,-122.9772491
303 Southeast 68th Avenue,115.9588754065261,490000,3.0,3.0,97123,Reedville,45.51847458,-122.9105988
684 Northeast Terry Court,86.68600916077958,430000,2.0,3.0,97124,Jackson School,45.53926086,-122.9805069
660 Northeast Joanne Court,215.96999779846533,468000,3.0,5.0,97124,Jackson School,45.53968048,-122.983017
1120 Southeast Alika Avenue,50.56274925831161,315000,3.0,2.0,97123,Arbor Roses,45.50885391,-122.9705582
1912 Southeast 63rd Avenue,92.37838753831952,460000,2.0,3.0,97123,Reedville,45.50562286,-122.9169769
6658 Southeast Lois Street,115.9588754065261,389000,3.0,3.0,97123,Reedville,45.51207352,-122.9116974
2713 Northeast Lorie Drive,163.11824741372573,545000,3.0,4.0,97124,Jackson School,45.54430771,-122.9832077
1525 Southeast Yulan Way,111.70997393825235,400000,3.0,3.0,97123,Magnolia Estates,45.49468994,-122.9679413
921 Southeast Marinette Avenue,103.41449964305119,275000,3.0,3.0,97123,Arbor Roses,45.51194382,-122.9761658
Greystone Community 3433,219.10609173933403,537945,3.0,5.0,97124,North Holladay Street,45.52458572,-123.0288773
610 Northeast Josephine Court,110.26649702898617,455000,3.0,3.0,97124,Jackson School,45.53996277,-122.9840088
4500 Southeast Mair Street,92.37838753831952,490000,2.0,3.0,97123,Reedville,45.51079178,-122.9363632
6245 Northeast Brighton Street,38.38665320633332,460000,2.0,2.0,97124,Orenco Station,45.53547668,-122.9159927
695 Northeast Alexis Court,139.53775954551915,530000,2.0,4.0,97124,Jackson School,45.54256821,-122.9800491
5360 Southeast Lone Oak Street,173.56534886290538,575000,3.0,4.0,97123,Witch Hazel,45.49586487,-122.925972
641 Northeast Kristie Court,163.11824741372573,610000,3.0,4.0,97124,Jackson School,45.54261017,-122.9831009
528 Southeast 69th Court,168.8106257912657,560000,3.0,4.0,97123,Reedville,45.51556015,-122.9090729
1034 Southeast Bacarra Street,103.41449964305119,340000,3.0,3.0,97123,Arbor Roses,45.51020432,-122.9749603
911 Southeast Portlandia Avenue,103.41449964305119,385000,3.0,3.0,97123,Arbor Roses,45.51161575,-122.9753265
450 Southeast 71st Place,115.9588754065261,505000,3.0,3.0,97123,Reedville,45.51657486,-122.9063644
5701 Southeast Popes Place,115.9588754065261,148750,3.0,3.0,97123,Reedville,45.50671387,-122.9245911
1685 Southeast 58th Court,92.37838753831952,443000,2.0,3.0,97123,Reedville,45.50785828,-122.922287
5654 Southeast Drake Road,92.37838753831952,378000,2.0,3.0,97123,Reedville,45.50263977,-122.9243927
2914 Southeast Marston Avenue,120.71359847816579,510000,3.0,3.0,97123,Witch Hazel,45.49696732,-122.9391861
5364 Southeast Stargrass Street,226.41709924764496,630000,3.0,5.0,97123,Witch Hazel,45.49522781,-122.9259796
852 Southeast Spoonbill Court,168.8106257912657,512500,3.0,4.0,97123,Reedville,45.51287079,-122.9287033
5798 Southeast Lexington Drive,245.24286404421184,600000,4.0,5.0,97123,Reedville,45.50878525,-122.9232712
1545 Northwest Challis Place,163.33611691949687,480000,2.5,4.0,97006,Tanasbourne,45.53090286,-122.8747177
7190 Southeast Sterling Lane,115.9588754065261,348400,3.0,3.0,97123,Reedville,45.49956131,-122.9086151
368 Northwest 187th Avenue,159.34472682858333,510000,3.0,4.0,97006,AmberGlen,45.52206039,-122.8722534
3440 Southeast Pinewood Avenue,120.71359847816579,425000,3.0,3.0,97123,Witch Hazel,45.49508286,-122.9369736
1550 Southeast Gerhard Drive,111.70997393825235,425000,3.0,3.0,97123,Magnolia Estates,45.49563217,-122.9669342
919 Southeast Albertine Street,103.41449964305119,416000,3.0,3.0,97123,Arbor Roses,45.51248169,-122.9760895
673 Southeast 69th Court,192.39111365947224,510000,4.0,4.0,97123,Reedville,45.51490402,-122.9098434
2124 Northeast Jamie Drive,215.96999779846533,538631,3.0,5.0,97124,Jackson School,45.54113007,-122.9837265
1872 Northeast Trisha Drive,86.68600916077958,575000,2.0,3.0,97124,Jackson School,45.53820419,-122.9800262
642 Southeast 68th Avenue,92.37838753831952,438500,2.0,3.0,97123,Reedville,45.51505661,-122.9101868
3112 Southeast Brookwood Avenue,144.29408634637238,441000,4.0,3.0,97123,Witch Hazel,45.4970665,-122.9304276
7042 Southeast Firefly Lane,159.30117964798632,566500,3.0,4.0,97123,Cooper Mountain - Aloha North,45.49365234,-122.9092331
3175 Southeast White Oak Avenue,173.56534886290538,510000,3.0,4.0,97123,Witch Hazel,45.49669266,-122.9300385
1212 Southeast Tamango Street,103.41449964305119,345000,3.0,3.0,97123,Arbor Roses,45.50961304,-122.9723511
1203 Southeast 56th Avenue,92.37838753831952,459000,2.0,3.0,97123,Reedville,45.51012421,-122.9256744
1298 Southeast Roundelay Street,103.41449964305119,345000,3.0,3.0,97123,Arbor Roses,45.50721741,-122.9708633
7628 Southeast Blanton Street,106.44942926324673,490000,3.0,3.0,97123,Cooper Mountain - Aloha North,45.49280167,-122.9029236
1337 Southeast 64th Court,92.37838753831952,450000,2.0,3.0,97123,Reedville,45.5095787,-122.9157944
2401 Southeast 72nd Avenue,115.9588754065261,517500,3.0,3.0,97123,Reedville,45.50161743,-122.9085464
1738 Southeast Gerhard Drive,164.56172432299192,486000,3.0,4.0,97123,Magnolia Estates,45.49478531,-122.9648743
937 Southeast Marinette Avenue,103.41449964305119,422500,3.0,3.0,97123,Arbor Roses,45.51171875,-122.9763184
521 Northeast 63rd Avenue,114.7177271386063,520000,3.0,3.0,97124,Orenco Gardens,45.52709198,-122.9163437
3907 Southeast 68th Avenue,212.15293003272586,617679,3.0,5.0,97123,Cooper Mountain - Aloha North,45.49163055,-122.9117355
7280 Southeast Wrenfield Street,92.37838753831952,450000,2.0,3.0,97123,Reedville,45.51335907,-122.9054337
3327 Southeast Oakmeade Avenue,120.71359847816579,475000,3.0,3.0,97123,Witch Hazel,45.49571991,-122.9284973
1742 Southeast 53rd Avenue,68.79789967011294,308500,1.0,3.0,97123,Reedville,45.50657654,-122.9281769
1626 Southeast 68th Court,168.8106257912657,500000,3.0,4.0,97123,Reedville,45.50756454,-122.9107513
2234 Southeast 74th Avenue,92.37838753831952,480000,2.0,3.0,97123,Reedville,45.50223541,-122.9053116
7143 Southeast Wrenfield Street,168.8106257912657,550000,3.0,4.0,97123,Reedville,45.5137558,-122.9074402
2365 Southeast Imlay Avenue,168.8106257912657,487950,3.0,4.0,97123,Reedville,45.50207138,-122.9229507
892 Southeast 54th Avenue,115.9588754065261,523000,3.0,3.0,97123,Reedville,45.51264191,-122.9271698
314 Southeast 68th Avenue,92.37838753831952,481000,2.0,3.0,97123,Reedville,45.51847076,-122.9101791
3943 Southeast 68th Avenue,159.30117964798632,597733,3.0,4.0,97123,Cooper Mountain - Aloha North,45.49138641,-122.9117508
3355 Southeast Silver Fox Way,120.71359847816579,454750,3.0,3.0,97123,Witch Hazel,45.49614334,-122.9224319
7044 Southeast Borwick Street,115.9588754065261,480000,3.0,3.0,97123,Reedville,45.51641083,-122.9074783
5377 Southeast Verbena Place,108.9233545440625,480000,2.5,3.0,97123,Witch Hazel,45.49662781,-122.9255829
7177 Southeast Lois Street,168.8106257912657,510000,3.0,4.0,97123,Reedville,45.51249313,-122.9072342
6248 Northeast Brighton Drive,85.54762894274648,612000,4.0,2.0,97124,Orenco Station,45.53510284,-122.9160309
4036 Southeast Discovery Street,173.56534886290538,502000,3.0,4.0,97123,Witch Hazel,45.4962616,-122.9402695
5972 Southeast Thornapple Street,120.71359847816579,560000,3.0,3.0,97123,Witch Hazel,45.49455643,-122.9217911
6567 Southeast Johnson Street,115.9588754065261,445000,3.0,3.0,97123,Reedville,45.50117493,-122.9135666
3398 Southeast San Marino Avenue,164.56172432299192,515000,3.0,4.0,97123,Magnolia Estates,45.49414825,-122.9644928
5446 Southeast Pueblo Street,92.37838753831952,456000,2.0,3.0,97123,Reedville,45.50102234,-122.9272919
1710 Southeast Gerhard Drive,164.56172432299192,520000,3.0,4.0,97123,Magnolia Estates,45.49501419,-122.9654465
1956 Southeast 73rd Avenue,92.37838753831952,560000,2.0,3.0,97123,Reedville,45.50593948,-122.9064331
478 Northeast 64th Way,167.56947752334588,549000,3.0,4.0,97124,Orenco Gardens,45.52638245,-122.9151917
2774 Southeast Player Court,63.10712502178653,305000,3.0,2.0,97123,Reedville,45.49971771,-122.9105606
5879 Northwest 213th Place,113.48283218601055,430000,3.0,3.0,97229,Rock Creek,45.56238937,-122.8964386
6522 Southeast Ariel Street,115.9588754065261,425000,3.0,3.0,97123,Reedville,45.51399994,-122.9138947
4539 Southeast Libby Court,115.9588754065261,373500,3.0,3.0,97123,Reedville,45.51773453,-122.9352875
1488 Southeast 52nd Avenue,115.9588754065261,450000,3.0,3.0,97123,Reedville,45.50867462,-122.9294205
3198 Southeast Brookwood Avenue,197.14583673111196,395000,4.0,4.0,97123,Witch Hazel,45.49660492,-122.9304733
3794 Southeast Oakleaf Street,173.56534886290538,500000,3.0,4.0,97123,Witch Hazel,45.49208832,-122.9375381
1610 Northeast 103rd Avenue,122.2746104688606,429000,3.0,3.0,97006,Tanasbourne,45.53127289,-122.8737259
10614 Northeast Park Ridge Way,122.2746104688606,430000,3.0,3.0,97006,Tanasbourne,45.53196716,-122.8704071
755 Southeast 78th Avenue,162.56235002897682,620000,3.0,4.0,97003,Cooper Mountain - Aloha North,45.51417923,-122.9010315
714 Northeast 61st Court,114.7177271386063,474900,3.0,3.0,97124,Orenco Gardens,45.52812958,-122.91745
486 Northeast 60th Avenue,167.56947752334588,525000,3.0,4.0,97124,Orenco Gardens,45.52647018,-122.9196777
2767 Southeast Player Court,63.10712502178653,331500,3.0,2.0,97123,Reedville,45.49977112,-122.9107971
10546 Northeast Gateway Street,106.49297644384376,435000,3.0,3.0,97006,AmberGlen,45.52215958,-122.8714066
6215 Southeast Green Street,168.8106257912657,516000,3.0,4.0,97123,Reedville,45.51073837,-122.9178391
2026 Southeast Village Court,92.37838753831952,417000,2.0,3.0,97123,Reedville,45.50453568,-122.9031219
1522 Northeast 65th Avenue,138.39937932748606,515000,4.0,3.0,97124,Orenco Station,45.53565979,-122.9131851
6780 Northeast Copper Beech Drive,38.38665320633332,522500,2.0,2.0,97124,Orenco Station,45.53796005,-122.9104996
18951 Northwest Avery Park Way,122.2746104688606,415000,3.0,3.0,97006,Tanasbourne,45.53278351,-122.8719788
10528 Northeast Gateway Street,106.49297644384376,399900,3.0,3.0,97006,AmberGlen,45.52215958,-122.8717575
1819 Southeast Littlegem Street,111.70997393825235,425000,3.0,3.0,97123,Magnolia Estates,45.49458313,-122.9650421
533 Northeast 61st Place,114.7177271386063,464900,3.0,3.0,97124,Orenco Gardens,45.52718735,-122.9178925
984 Southeast 58th Avenue,92.37838753831952,425000,2.0,3.0,97123,Reedville,45.51211166,-122.922905
7569 Southeast Hacienda Street,115.9588754065261,335000,3.0,3.0,97123,Reedville,45.50522614,-122.902504
1803 Southeast Harwell Way,111.70997393825235,410000,3.0,3.0,97123,Magnolia Estates,45.49388123,-122.9660034
6530 Southeast Ariel Street,115.9588754065261,430000,3.0,3.0,97123,Reedville,45.51398468,-122.9136429
18980 Northeast Avery Way,69.42286008412103,359000,3.0,2.0,97006,Tanasbourne,45.53252411,-122.8723297
615 Southeast 73rd Avenue,168.8106257912657,485000,3.0,4.0,97123,Reedville,45.5150528,-122.9055328
6846 Southeast Mahogany Street,159.30117964798632,693460,3.0,4.0,97123,Cooper Mountain - Aloha North,45.49439621,-122.9110413
18874 Northeast Avery Way,122.2746104688606,390000,3.0,3.0,97006,Tanasbourne,45.53245163,-122.8710327
7341 Southeast Del Rio Court,92.37838753831952,427000,2.0,3.0,97123,Reedville,45.50437927,-122.9062042
3371 Southeast Yellowbird Avenue,164.56172432299192,450000,3.0,4.0,97123,Magnolia Estates,45.49505615,-122.966301
6657 Southeast Gladys Street,92.37838753831952,440000,2.0,3.0,97123,Reedville,45.51036835,-122.9124222
6106 Southeast Golden Street,168.8106257912657,532000,3.0,4.0,97123,Reedville,45.5070076,-122.919487
5350 Southeast Del Rio Court,115.9588754065261,468000,3.0,3.0,97123,Reedville,45.50410843,-122.9276199
4048 Southeast Discovery Street,173.56534886290538,449000,3.0,4.0,97123,Witch Hazel,45.49621582,-122.9400024
1361 Southeast 73rd Court,92.37838753831952,515000,2.0,3.0,97123,Reedville,45.50966644,-122.9066544
5902 Northeast Wetherby Street,167.56947752334588,527200,3.0,4.0,97124,Orenco Gardens,45.52569199,-122.9205322
2434 Southeast 54th Court,92.37838753831952,443000,2.0,3.0,97123,Reedville,45.5007782,-122.9273224
5099 Southeast Redberry Place,173.56534886290538,480000,3.0,4.0,97123,Witch Hazel,45.49724197,-122.9297943
2062 Southeast Imlay Avenue,92.37838753831952,408000,2.0,3.0,97123,Reedville,45.50484467,-122.9218597
3447 Southeast Oakmeade Avenue,120.71359847816579,399000,3.0,3.0,97123,Witch Hazel,45.49511719,-122.9285812
816 Southeast 60th Avenue,92.37838753831952,463000,2.0,3.0,97123,Reedville,45.5142746,-122.9199677
2244 Southeast 73rd Avenue,115.9588754065261,455000,3.0,3.0,97123,Reedville,45.50199509,-122.9063034
6327 Southeast Kensington Street,92.37838753831952,500000,2.0,3.0,97123,Reedville,45.50754547,-122.9160995
6335 Southeast Kensington Street,92.37838753831952,500000,2.0,3.0,97123,Reedville,45.50760651,-122.9158707
4957 Southeast Firwood Crest Lane,168.8106257912657,471000,3.0,4.0,97123,Reedville,45.51895523,-122.9311905
177 Southeast 59th Lane,168.8106257912657,505000,3.0,4.0,97123,Reedville,45.51911163,-122.9204788
6595 Southeast Johnson Street,92.37838753831952,410000,2.0,3.0,97123,Reedville,45.50097275,-122.9133148
5998 Northeast Kettering Street,114.7177271386063,553000,3.0,3.0,97124,Orenco Gardens,45.52790833,-122.9206772
6899 Southeast Langwood Street,92.37838753831952,360000,2.0,3.0,97123,Reedville,45.51034164,-122.9098129
7124 Southeast Lois Street,115.9588754065261,363000,3.0,3.0,97123,Reedville,45.51209259,-122.9079361
3465 Southeast Royalstar Avenue,111.70997393825235,384800,3.0,3.0,97123,Magnolia Estates,45.49495316,-122.9673843
871 Southeast 59th Avenue,115.9588754065261,636000,3.0,3.0,97123,Reedville,45.51339722,-122.9220886
712 Southeast 72nd Avenue,115.9588754065261,435000,3.0,3.0,97123,Reedville,45.51450729,-122.9059525
6816 Southeast Chinquapin Drive,159.30117964798632,674990,3.0,4.0,97123,Cooper Mountain - Aloha North,45.4954567,-122.9109573
1583 Southeast Pelton Court,115.9588754065261,420500,3.0,3.0,97123,Reedville,45.50785446,-122.919899
797 Southeast 78th Avenue,159.30117964798632,580500,3.0,4.0,97123,Cooper Mountain - Aloha North,45.51400757,-122.9010544
685 Southeast 71st Avenue,115.9588754065261,343000,3.0,3.0,97123,Reedville,45.51468277,-122.9076385
7203 Southeast Lois Street,92.37838753831952,399900,2.0,3.0,97123,Reedville,45.51250076,-122.9068146
6015 Northeast Kettering Street,114.7177271386063,500000,3.0,3.0,97124,Orenco Gardens,45.52843475,-122.9200974
2177 Southeast Cornelius Pass Road,168.8106257912657,465000,3.0,4.0,97123,Reedville,45.50414658,-122.9024124
7325 Southeast Chinquapin Drive,53.59767887850715,398900,3.0,2.0,97123,Cooper Mountain - Aloha North,45.49354172,-122.9056854
361 Southeast 69th Avenue,115.9588754065261,460000,3.0,3.0,97123,Reedville,45.51778412,-122.909668
3408 Southeast Yellowbird Avenue,111.70997393825235,410000,3.0,3.0,97123,Magnolia Estates,45.49462891,-122.9660416
6246 Southeast Wicker Court,92.37838753831952,410000,2.0,3.0,97123,Reedville,45.5056839,-122.9180756
2049 Southeast 63rd Avenue,92.37838753831952,416000,2.0,3.0,97123,Reedville,45.50440979,-122.9175262
4762 Southeast Sandalwood Street,120.71359847816579,400000,3.0,3.0,97123,Witch Hazel,45.49663925,-122.9328384
6542 Southeast Lois Street,115.9588754065261,359000,3.0,3.0,97123,Reedville,45.5120697,-122.9133072
6300 Southeast Sigrid Street,92.37838753831952,425000,2.0,3.0,97123,Reedville,45.51436615,-122.9173279
893 Southeast 67th Avenue,92.37838753831952,410000,2.0,3.0,97123,Reedville,45.51249695,-122.9113617
1931 Southeast 55th Avenue,115.9588754065261,435000,3.0,3.0,97123,Reedville,45.50503159,-122.9260559
7297 Southeast Lindsay Lane,145.2301379230591,210000,2.0,4.0,97123,Reedville,45.49944305,-122.9075317
604 Southeast 67th Avenue,168.8106257912657,437000,3.0,4.0,97123,Reedville,45.51528549,-122.911171
3468 Southeast San Marino Avenue,111.70997393825235,333000,3.0,3.0,97123,Magnolia Estates,45.49370575,-122.9648666
1951 Southeast 73rd Avenue,92.37838753831952,430000,2.0,3.0,97123,Reedville,45.50605774,-122.9070587
6692 Southeast Drake Street,92.37838753831952,390000,2.0,3.0,97123,Reedville,45.50206757,-122.9123764
5242 Southeast Stargrass Street,120.71359847816579,456000,3.0,3.0,97123,Witch Hazel,45.49520111,-122.9276352
1738 Southeast 60th Court,168.8106257912657,485000,3.0,4.0,97123,Reedville,45.50699615,-122.920639
6302 Southeast Virginia Street,168.8106257912657,459900,3.0,4.0,97123,Reedville,45.51253128,-122.917099
1388 Southeast 70th Avenue,92.37838753831952,425000,2.0,3.0,97123,Reedville,45.50917816,-122.9087372
1453 Northeast Orenco Station Parkway,61.96714107453991,601500,3.0,2.0,97124,Orenco Station,45.53481674,-122.9170532
5059 Southeast Montego Street,92.37838753831952,385000,2.0,3.0,97123,Reedville,45.5043335,-122.9305115
716 Southeast 56th Avenue,168.8106257912657,467000,3.0,4.0,97123,Reedville,45.51410675,-122.9241791
4683 Southeast Teakwood Street,120.71359847816579,406000,3.0,3.0,97123,Witch Hazel,45.49493027,-122.9341354
2147 Southwest 218th Place,62.46809464829932,26300,1.0,3.0,97006,Cooper Mountain - Aloha North,45.50424957,-122.9017792
743 Northeast 64th Place,114.7177271386063,430000,3.0,3.0,97124,Orenco Gardens,45.52835464,-122.9156342
6505 Southeast Ariel Street,145.2301379230591,441000,2.0,4.0,97123,Reedville,45.5143013,-122.9142838
7340 Southeast Del Rio Court,168.8106257912657,455000,3.0,4.0,97123,Reedville,45.50419617,-122.9062271
7357 Southeast Chinquapin Drive,53.59767887850715,361450,3.0,2.0,97123,Cooper Mountain - Aloha North,45.49345779,-122.9055557
6506 Southeast Ariel Street,115.9588754065261,429000,3.0,3.0,97123,Reedville,45.51398849,-122.9143143
6105 Southeast Davis Road,173.56534886290538,499900,3.0,4.0,97123,Witch Hazel,45.49430847,-122.919838
4233 Southeast Daffodil Place,120.71359847816579,395000,3.0,3.0,97123,Witch Hazel,45.49263382,-122.9393997
5915 Southeast Lois Street,92.37838753831952,450000,2.0,3.0,97123,Reedville,45.51253128,-122.9214401
4544 Southeast Lone Oak Street,120.71359847816579,400000,3.0,3.0,97123,Witch Hazel,45.49583435,-122.935791
1940 Southeast 74th Avenue,115.9588754065261,440000,3.0,3.0,97123,Reedville,45.50629425,-122.9052734
7201 Southeast Wrenfield Street,92.37838753831952,410500,2.0,3.0,97123,Reedville,45.51374435,-122.9063721
1339 Southeast 61st Place,168.8106257912657,425000,3.0,4.0,97123,Reedville,45.50993347,-122.919899
7387 Southeast Chinquapin Drive,53.59767887850715,387950,3.0,2.0,97123,Cooper Mountain - Aloha North,45.49337006,-122.9054108
1591 Southeast 68th Court,168.8106257912657,426599,3.0,4.0,97123,Reedville,45.50800323,-122.911087
1976 Southeast 74th Avenue,92.37838753831952,471500,2.0,3.0,97123,Reedville,45.50550461,-122.9052734
5355 Southeast Lone Oak Street,120.71359847816579,437000,3.0,3.0,97123,Witch Hazel,45.496315,-122.9259949
1586 Southeast 63rd Place,168.8106257912657,515000,3.0,4.0,97123,Reedville,45.50802231,-122.9168472
1606 Southeast 67th Avenue,115.9588754065261,435000,3.0,3.0,97123,Reedville,45.50778198,-122.9115524
5697 Northeast Daventry Street,114.7177271386063,555900,3.0,3.0,97124,Orenco Gardens,45.52903748,-122.9233017
1457 Northeast Orenco Station Parkway,138.39937932748606,600000,4.0,3.0,97124,Orenco Station,45.53506088,-122.9170532
6287 Southeast Wicker Court,92.37838753831952,405000,2.0,3.0,97123,Reedville,45.50611877,-122.9174652
2095 Southeast 55th Avenue,92.37838753831952,410000,2.0,3.0,97123,Reedville,45.50359344,-122.9260635
5171 Southeast Redberry Place,173.56534886290538,449999,3.0,4.0,97123,Witch Hazel,45.49726486,-122.9286957
7526 Southeast Johnson Street,115.9588754065261,319500,3.0,3.0,97123,Reedville,45.50042343,-122.9042053
3544 Southeast San Marino Avenue,164.56172432299192,449900,3.0,4.0,97123,Magnolia Estates,45.49327469,-122.9652405
714 Southeast 78th Avenue,159.30117964798632,586500,3.0,4.0,97123,Cooper Mountain - Aloha North,45.51435089,-122.9004288
3971 Southeast Discovery Street,120.71359847816579,361000,3.0,3.0,97123,Witch Hazel,45.49663162,-122.9413834
2446 Southeast 54th Court,92.37838753831952,340000,2.0,3.0,97123,Reedville,45.50053787,-122.9273376
