google_address,Predicted AirBNB Price,Zillow List Price,Bathrooms,Bedrooms,Zipcode,Neighborhood,Lat,Long
18350 Northeast Everett Court,66.39584435042897,325000,1.0,3.0,97230,Rockwood,45.52425766,-122.4738312
2285 Northeast Juniper Avenue,144.92494398947758,395000,2.0,4.0,97030,North Central,45.51330185,-122.4233322
21033 Southeast Salmon Street,92.07319360473801,378500,2.0,3.0,97030,North Central,45.51490402,-122.4465103
17814 Northeast Davis Street,142.82808260337515,300000,2.0,4.0,97230,Rockwood,45.52353287,-122.4796448
1147 Southeast 175th Place,219.17879159679654,415000,3.0,5.0,97233,Rockwood,45.51437759,-122.4831848
21001 Southeast Yamhill Street,144.92494398947758,387550,2.0,4.0,97030,North Central,45.51643753,-122.4473343
19810 Northeast Multnomah Street,139.69198866250642,187500,2.0,4.0,97230,North Gresham,45.53158951,-122.4589615
33 Southeast 218th Avenue,168.50543185768416,459000,3.0,4.0,97030,North Central,45.52241516,-122.438385
1153 Northeast 193rd Avenue,63.25975040956025,349900,1.0,3.0,97230,North Gresham,45.53101349,-122.464241
1880 Northeast View Court,145.63309423418988,396000,2.0,4.0,97030,Northeast,45.51237869,-122.4136887
21934 Southeast Morrison Court,144.92494398947758,283000,2.0,4.0,97030,North Central,45.51645279,-122.4355927
1915 Northeast View Court,92.7813438494503,362000,2.0,3.0,97030,Northeast,45.51255798,-122.4131088
2280 Northeast 23rd Street,145.63309423418988,345000,2.0,4.0,97030,Northeast,45.51283264,-122.4095917
1611 Southeast 182nd Avenue,79.27254928842639,289900,2.0,3.0,97233,Centennial,45.5112114,-122.4760895
1951 Northwest 18th Street,169.51707506441602,508000,3.0,4.0,97030,Northwest,45.51107025,-122.4515305
2888 Northeast Liberty Avenue,92.07319360473801,370000,2.0,3.0,97030,North Central,45.5177803,-122.4172058
1936 Northwest Florence Avenue,140.24581254788302,330000,4.0,3.0,97030,Northwest,45.50971603,-122.4428406
720 Northeast 22nd Street,92.07319360473801,380000,2.0,3.0,97030,North Central,45.51166916,-122.4244003
904 Northeast 191st Avenue,63.25975040956025,343000,1.0,3.0,97230,North Gresham,45.52931213,-122.4665985
17227 Southeast Pine Street,113.47529082731738,282000,3.0,3.0,97233,Rockwood,45.52080536,-122.4854279
271 Northeast 192nd Avenue,89.97633221863556,330000,2.0,3.0,97230,Rockwood,45.52496338,-122.4656982
1408 Northeast 19th Street,144.92494398947758,391000,2.0,4.0,97030,North Central,45.51039124,-122.4178238
1640 Southeast 176th Avenue,79.27254928842639,330000,2.0,3.0,97233,Centennial,45.51057053,-122.4817505
2820 Northeast 22nd Court,116.36183171765688,378500,3.0,3.0,97030,Northeast,45.51182556,-122.4038696
714 Southeast 180th Avenue,142.74655334385037,366500,2.0,4.0,97233,Rockwood,45.51745224,-122.4773483
35 Southeast 167th Avenue,89.89480295911079,335000,2.0,3.0,97233,Rockwood,45.52155304,-122.4909058
935 Northeast 194th Avenue,86.84023827776683,374900,2.0,3.0,97230,North Gresham,45.52971268,-122.4635544
