listing_url,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,house_number,street_name,zipcode,neighborhood,lat_lng,address
https://www.airbnb.com/rooms/365283,within an hour,100.0,100.0,0,1,King,45.55975,-122.66076,Entire home/apt,2,1.0,1.0,1.0,75.0,30,1125,0,2018-01-30,4.79,4.82,4.89,4.9,4.9,4.37,4.71,1.21,5020,Northeast Martin Luther King Junior Boulevard,97211,King,"45.55975, -122.66076",5020 Northeast Martin Luther King Junior Boulevard
https://www.airbnb.com/rooms/383701,within an hour,100.0,99.0,1,1,Sellwood-Moreland Improvement League,45.46846,-122.65395,Entire home/apt,4,1.0,1.0,4.0,86.0,2,92,2,2021-12-17,4.92,4.97,4.96,4.99,4.98,4.94,4.86,2.71,1146,Southeast Lambert Street,97202,Southeast Portland,"45.46846, -122.65395",1146 Southeast Lambert Street
https://www.airbnb.com/rooms/386687,within an hour,100.0,100.0,1,1,Multnomah,45.4692,-122.71497,Entire home/apt,2,1.0,1.0,1.0,12.0,2,90,2,2021-12-05,4.83,4.79,4.86,4.9,4.91,4.94,4.7,1.52,3637,Southwest Canby Street,97219,Southwest Portland,"45.4692, -122.71497",3637 Southwest Canby Street
https://www.airbnb.com/rooms/399890,within a day,100.0,70.0,1,1,Marshall Park,45.45754,-122.69222,Entire home/apt,6,1.0,2.0,2.0,185.0,3,1125,0,2021-09-20,4.89,4.92,4.98,4.98,4.95,4.89,4.87,0.9,9315,Southwest 13th Drive,97219,Southwest Portland,"45.45754, -122.69222",9315 Southwest 13th Drive
https://www.airbnb.com/rooms/402130,within a few hours,100.0,78.0,0,1,Kerns,45.52949,-122.63449,Entire home/apt,2,1.0,1.0,2.0,96.0,2,365,3,2021-12-14,4.76,4.79,4.71,4.88,4.87,4.9,4.76,1.67,909,Northeast 30th Avenue,97232,Kerns,"45.52949, -122.63449",909 Northeast 30th Avenue
https://www.airbnb.com/rooms/402191,within a few hours,100.0,78.0,0,1,Kerns,45.52671,-122.63666,Entire home/apt,2,1.0,1.0,1.0,92.0,2,365,1,2021-12-12,4.72,4.79,4.71,4.85,4.84,4.88,4.7,2.2,2819,Northeast Glisan Street,97232,Kerns,"45.52671, -122.63666",2819 Northeast Glisan Street
https://www.airbnb.com/rooms/413956,within a few hours,100.0,100.0,1,1,Overlook,45.56557,-122.67893,Entire home/apt,5,1.0,2.0,3.0,118.0,3,12,1,2021-11-27,4.7,4.62,4.73,4.87,4.95,4.61,4.68,1.28,5905,North Minnesota Avenue,97217,Overlook,"45.56557, -122.67893",5905 North Minnesota Avenue
https://www.airbnb.com/rooms/448195,within an hour,100.0,100.0,1,1,Rose City Park,45.5474,-122.61376,Entire home/apt,8,2.0,4.0,5.0,256.0,3,300,1,2021-12-07,4.89,4.87,4.82,4.95,4.92,4.83,4.67,1.78,3325,Northeast 48th Avenue,97213,Rose City Park,"45.5474, -122.61376",3325 Northeast 48th Avenue
https://www.airbnb.com/rooms/483452,within an hour,100.0,100.0,0,1,Northwest District,45.52375,-122.69263,Entire home/apt,5,1.5,3.0,2.0,304.0,30,1125,0,2017-03-20,4.86,4.88,4.85,4.93,4.93,4.9,4.71,1.31,21,Northwest 20th Avenue,97209,Northwest Portland,"45.52375, -122.69263",21 Northwest 20th Avenue
https://www.airbnb.com/rooms/522334,within an hour,100.0,100.0,1,1,Sellwood-Moreland Improvement League,45.47402,-122.6439,Entire home/apt,2,1.0,1.0,1.0,75.0,3,30,3,2021-12-06,4.96,4.97,4.9,4.98,4.96,4.92,4.96,3.64,6925,Southeast 21st Avenue,97202,Southeast Portland,"45.47402, -122.6439",6925 Southeast 21st Avenue
https://www.airbnb.com/rooms/525395,within an hour,100.0,96.0,0,1,South Portland,45.47187,-122.67422,Entire home/apt,8,3.0,4.0,5.0,399.0,2,90,2,2021-11-27,4.24,4.55,4.0,4.95,4.9,4.75,4.25,0.2,7305,South Virginia Avenue,97219,Southwest Portland,"45.47187, -122.67422",7305 South Virginia Avenue
https://www.airbnb.com/rooms/531553,within an hour,100.0,98.0,1,1,Boise,45.55232,-122.67048,Entire home/apt,2,1.0,1.0,1.0,106.0,2,30,3,2021-12-12,4.91,4.93,4.89,4.99,4.99,4.93,4.91,2.68,4015,North Haight Avenue,97227,North Portland,"45.55232, -122.67048",4015 North Haight Avenue
https://www.airbnb.com/rooms/543988,within an hour,100.0,90.0,1,1,Laurelhurst,45.52417,-122.61865,Entire home/apt,2,1.0,1.0,1.0,95.0,2,30,4,2021-12-11,4.91,4.91,4.96,4.93,4.93,4.96,4.88,2.32,4232,Northeast Couch Street,97213,Laurelhurst,"45.52417, -122.61865",4232 Northeast Couch Street
https://www.airbnb.com/rooms/548557,within an hour,100.0,56.0,0,1,Concordia,45.56995,-122.63151,Entire home/apt,4,1.0,1.0,2.0,109.0,2,1125,0,2021-09-06,4.81,4.92,4.8,4.9,4.88,4.75,4.68,1.08,6452,Northeast 32nd Place,97211,Concordia,"45.56995, -122.63151",6452 Northeast 32nd Place
https://www.airbnb.com/rooms/557948,within a few hours,100.0,100.0,1,1,Hosford-Abernethy,45.50857,-122.64463,Entire home/apt,6,2.0,2.0,2.0,614.0,7,7,0,2019-08-03,5.0,5.0,4.86,5.0,5.0,4.86,4.93,0.15,1974,Southeast 20th Avenue,97214,Hosford-Abernethy,"45.50857, -122.64463",1974 Southeast 20th Avenue
https://www.airbnb.com/rooms/580155,within an hour,100.0,100.0,1,1,Eliot,45.53912,-122.66097,Entire home/apt,3,1.0,1.0,1.0,111.0,2,1125,1,2021-11-29,4.93,4.96,4.96,4.96,4.93,4.63,4.8,0.4,435,Northeast Thompson Street,97212,Eliot,"45.53912, -122.66097",435 Northeast Thompson Street
https://www.airbnb.com/rooms/598726,within an hour,100.0,100.0,1,1,King,45.56597,-122.66389,Entire home/apt,16,2.0,4.0,11.0,45.0,1,44,0,2021-10-04,4.94,4.87,4.96,4.97,4.99,4.81,4.88,1.14,5919,Northeast Mallory Avenue,97211,King,"45.56597, -122.66389",5919 Northeast Mallory Avenue
https://www.airbnb.com/rooms/635432,within a few hours,100.0,94.0,0,0,Bridlemile,45.49059,-122.72066,Entire home/apt,3,1.0,1.0,2.0,15.0,2,1125,1,2021-11-27,4.72,4.84,4.75,4.84,4.85,4.65,4.62,0.86,4304,Southwest Hamilton Street,97221,Southwest Portland,"45.49059, -122.72066",4304 Southwest Hamilton Street
https://www.airbnb.com/rooms/674866,within a day,100.0,84.0,1,1,Pearl,45.52667,-122.68242,Entire home/apt,6,1.5,2.0,4.0,125.0,30,1125,0,2021-11-01,4.75,4.69,4.81,4.75,4.88,4.81,4.88,0.39,511,Northwest 11th Avenue,97209,Northwest Portland,"45.52667, -122.68242",511 Northwest 11th Avenue
